2013 31/8 23:00	143.490	138.780	136.001	2.022%	2.266	1.820	0.446	0.098
2013 31/8 21:00	141.123	137.733	135.252	1.817%	2.057	1.708	0.348	0.038
2013 31/8 19:00	138.980	136.979	134.665	1.704%	1.931	1.621	0.310	0.048
2013 31/8 17:00	138.000	136.535	134.234	1.700%	1.902	1.544	0.358	0.096
2013 31/8 15:00	138.679	136.209	133.857	1.742%	1.909	1.454	0.454	0.042
2013 31/8 13:00	136.680	135.660	133.375	1.699%	1.837	1.341	0.497	0.156
2013 31/8 11:00	138.500	135.434	133.044	1.780%	1.870	1.217	0.653	0.038
2013 31/8 09:00	138.030	134.752	132.499	1.687%	1.744	1.054	0.690	0.020
2013 31/8 07:00	138.050	134.024	131.945	1.563%	1.592	0.881	0.711	0.044
2013 31/8 05:00	136.500	133.129	131.335	1.357%	1.370	0.703	0.667	0.020
2013 31/8 03:00	137.200	132.380	130.818	1.187%	1.184	0.536	0.647	0.151
2013 31/8 01:00	141.000	131.309	130.180	0.863%	0.871	0.375	0.497	0.590
2013 30/8 23:00	129.170	129.155	129.098	0.044%	0.157	0.251	-0.094	0.011
2013 30/8 21:00	128.900	129.152	129.091	0.047%	0.169	0.274	-0.105	0.008
2013 30/8 19:00	129.806	129.208	129.110	0.076%	0.203	0.300	-0.098	0.055
2013 30/8 17:00	129.000	129.075	129.041	0.027%	0.172	0.325	-0.153	0.016
2013 30/8 15:00	129.000	129.092	129.045	0.037%	0.194	0.363	-0.169	0.017
2013 30/8 13:00	128.700	129.112	129.049	0.049%	0.219	0.405	-0.186	0.006
2013 30/8 11:00	128.915	129.204	129.084	0.093%	0.271	0.452	-0.181	0.001
2013 30/8 09:00	129.300	129.268	129.101	0.130%	0.317	0.497	-0.180	0.021
2013 30/8 07:00	129.000	129.261	129.081	0.140%	0.341	0.542	-0.201	0.001
2013 30/8 05:00	128.911	129.319	129.089	0.178%	0.389	0.592	-0.203	0.013
2013 30/8 03:00	129.000	129.410	129.107	0.234%	0.453	0.643	-0.190	0.020
2013 30/8 01:00	129.890	129.501	129.118	0.297%	0.521	0.690	-0.170	0.034
2013 29/8 23:00	129.500	129.415	129.040	0.290%	0.530	0.733	-0.203	0.017
2013 29/8 21:00	129.740	129.396	128.994	0.311%	0.564	0.784	-0.220	0.039
2013 29/8 19:00	130.000	129.319	128.920	0.309%	0.580	0.839	-0.258	0.073
2013 29/8 17:00	128.563	129.168	128.812	0.276%	0.572	0.903	-0.331	0.012
2013 29/8 15:00	129.100	129.302	128.837	0.361%	0.667	0.986	-0.319	0.011
2013 29/8 13:00	128.850	129.347	128.810	0.416%	0.736	1.066	-0.330	0.014
2013 29/8 11:00	129.000	129.458	128.806	0.504%	0.833	1.148	-0.316	0.021
2013 29/8 09:00	128.572	129.559	128.787	0.598%	0.932	1.227	-0.295	0.074
2013 29/8 07:00	130.500	129.779	128.808	0.750%	1.080	1.301	-0.221	0.034
2013 29/8 05:00	130.373	129.618	128.639	0.758%	1.101	1.356	-0.255	0.043
2013 29/8 03:00	129.980	129.451	128.466	0.764%	1.121	1.420	-0.299	0.034
2013 29/8 01:00	129.120	129.333	128.315	0.791%	1.162	1.495	-0.333	0.020
2013 28/8 23:00	129.500	129.381	128.234	0.890%	1.265	1.578	-0.313	0.004
2013 28/8 21:00	128.610	129.354	128.107	0.968%	1.347	1.656	-0.309	0.079
2013 28/8 19:00	128.700	129.520	128.057	1.135%	1.504	1.733	-0.230	0.113
2013 28/8 17:00	129.698	129.702	127.993	1.326%	1.674	1.791	-0.117	0.085
2013 28/8 15:00	129.490	129.703	127.822	1.460%	1.789	1.820	-0.031	0.129
2013 28/8 13:00	129.651	129.750	127.656	1.627%	1.925	1.828	0.097	0.158
2013 28/8 11:00	131.413	129.772	127.456	1.800%	2.058	1.804	0.255	0.064
2013 28/8 09:00	130.205	129.407	127.061	1.830%	2.059	1.740	0.319	0.145
2013 28/8 07:00	131.300	129.230	126.746	1.941%	2.125	1.660	0.464	0.081
2013 28/8 05:00	131.010	128.770	126.291	1.944%	2.089	1.544	0.545	0.082
2013 28/8 03:00	131.213	128.272	125.819	1.931%	2.035	1.408	0.628	0.040
2013 28/8 01:00	129.521	127.619	125.279	1.850%	1.919	1.251	0.668	0.124
2013 27/8 23:00	131.210	127.196	124.855	1.857%	1.876	1.084	0.792	0.023
2013 27/8 21:00	129.590	126.304	124.220	1.664%	1.655	0.886	0.769	0.014
2013 27/8 19:00	129.600	125.574	123.683	1.517%	1.477	0.694	0.783	0.056
2013 27/8 17:00	129.965	124.679	123.091	1.282%	1.225	0.498	0.727	0.192
2013 27/8 15:00	131.000	123.504	122.404	0.895%	0.851	0.316	0.535	0.448
2013 27/8 13:00	126.000	121.838	121.544	0.242%	0.270	0.182	0.087	0.312
2013 27/8 11:00	120.457	120.914	121.098	-0.153%	-0.064	0.161	-0.224	0.016
2013 27/8 09:00	120.100	121.015	121.163	-0.122%	-0.023	0.217	-0.240	0.022
2013 27/8 07:00	120.100	121.219	121.269	-0.041%	0.058	0.277	-0.218	0.049
2013 27/8 05:00	120.610	121.467	121.386	0.067%	0.162	0.331	-0.169	0.044
2013 27/8 03:00	120.222	121.658	121.463	0.160%	0.249	0.374	-0.125	0.108
2013 27/8 01:00	122.040	121.977	121.587	0.320%	0.388	0.405	-0.017	0.016
2013 26/8 23:00	122.100	121.963	121.542	0.345%	0.409	0.409	-0.000	0.015
2013 26/8 21:00	121.910	121.932	121.486	0.366%	0.424	0.409	0.015	0.033
2013 26/8 19:00	122.000	121.937	121.444	0.405%	0.453	0.406	0.047	0.035
2013 26/8 17:00	122.336	121.923	121.389	0.440%	0.476	0.394	0.082	0.015
2013 26/8 15:00	122.290	121.832	121.294	0.442%	0.470	0.373	0.097	0.014
2013 26/8 13:00	121.880	121.730	121.194	0.441%	0.460	0.349	0.111	0.042
2013 26/8 11:00	122.000	121.696	121.126	0.470%	0.474	0.321	0.153	0.039
2013 26/8 09:00	122.111	121.629	121.038	0.487%	0.475	0.283	0.192	0.033
2013 26/8 07:00	122.480	121.521	120.931	0.487%	0.460	0.235	0.225	0.000
2013 26/8 05:00	122.100	121.308	120.776	0.440%	0.404	0.179	0.225	0.010
2013 26/8 03:00	122.315	121.132	120.643	0.404%	0.357	0.122	0.235	0.024
2013 26/8 01:00	122.000	120.869	120.476	0.326%	0.274	0.063	0.211	0.031
2013 25/8 23:00	121.450	120.618	120.324	0.244%	0.191	0.011	0.180	0.018
2013 25/8 21:00	121.150	120.433	120.211	0.185%	0.128	-0.034	0.162	0.016
2013 25/8 19:00	120.495	120.274	120.117	0.130%	0.071	-0.075	0.146	0.018
2013 25/8 17:00	120.547	120.225	120.080	0.121%	0.053	-0.111	0.164	0.013
2013 25/8 15:00	120.444	120.153	120.033	0.100%	0.024	-0.153	0.177	0.016
2013 25/8 13:00	120.000	120.089	119.992	0.081%	-0.004	-0.197	0.193	0.050
2013 25/8 11:00	121.190	120.108	119.991	0.098%	-0.002	-0.245	0.243	0.038
2013 25/8 09:00	119.603	119.868	119.871	-0.003%	-0.100	-0.306	0.206	0.062
2013 25/8 07:00	121.260	119.927	119.898	0.024%	-0.090	-0.357	0.268	0.059
2013 25/8 05:00	120.890	119.631	119.762	-0.109%	-0.216	-0.424	0.208	0.075
2013 25/8 03:00	119.800	119.351	119.649	-0.249%	-0.343	-0.476	0.134	0.030
2013 25/8 01:00	121.012	119.251	119.634	-0.320%	-0.407	-0.510	0.103	0.153
2013 24/8 23:00	118.900	118.860	119.496	-0.534%	-0.586	-0.535	-0.050	0.052
2013 24/8 21:00	118.500	118.851	119.555	-0.591%	-0.625	-0.523	-0.102	0.033
2013 24/8 19:00	118.086	118.929	119.661	-0.614%	-0.633	-0.497	-0.135	0.001
2013 24/8 17:00	118.500	119.116	119.818	-0.588%	-0.598	-0.463	-0.134	0.016
2013 24/8 15:00	119.000	119.253	119.950	-0.583%	-0.580	-0.430	-0.150	0.049
2013 24/8 13:00	118.990	119.310	120.045	-0.615%	-0.591	-0.392	-0.199	0.055
2013 24/8 11:00	118.500	119.381	120.151	-0.643%	-0.596	-0.343	-0.253	0.020
2013 24/8 09:00	118.510	119.576	120.316	-0.617%	-0.553	-0.280	-0.273	0.006
2013 24/8 07:00	118.900	119.813	120.497	-0.569%	-0.490	-0.211	-0.279	0.016
2013 24/8 05:00	118.920	120.016	120.656	-0.532%	-0.436	-0.142	-0.295	0.001
2013 24/8 03:00	118.885	120.260	120.830	-0.473%	-0.363	-0.068	-0.296	0.027
2013 24/8 01:00	120.116	120.566	121.024	-0.380%	-0.263	0.006	-0.269	0.039
2013 23/8 23:00	120.100	120.666	121.115	-0.372%	-0.234	0.073	-0.307	0.036
2013 23/8 21:00	119.969	120.791	121.217	-0.352%	-0.193	0.150	-0.343	0.019
2013 23/8 19:00	119.020	120.974	121.342	-0.303%	-0.126	0.236	-0.362	0.075
2013 23/8 17:00	120.428	121.408	121.574	-0.136%	0.039	0.326	-0.287	0.021
2013 23/8 15:00	120.882	121.626	121.688	-0.051%	0.132	0.398	-0.266	0.012
2013 23/8 13:00	121.001	121.791	121.769	0.018%	0.211	0.464	-0.254	0.024
2013 23/8 11:00	120.821	121.967	121.846	0.099%	0.298	0.528	-0.230	0.064
2013 23/8 09:00	122.000	122.222	121.948	0.224%	0.419	0.585	-0.166	0.009
2013 23/8 07:00	122.560	122.271	121.943	0.268%	0.470	0.627	-0.157	0.028
2013 23/8 05:00	122.399	122.207	121.881	0.266%	0.481	0.666	-0.184	0.025
2013 23/8 03:00	121.032	122.164	121.830	0.274%	0.502	0.712	-0.210	0.081
2013 23/8 01:00	122.800	122.415	121.909	0.414%	0.636	0.764	-0.129	0.019
2013 22/8 23:00	122.700	122.330	121.820	0.417%	0.649	0.797	-0.147	0.021
2013 22/8 21:00	122.105	122.248	121.732	0.422%	0.665	0.833	-0.168	0.019
2013 22/8 19:00	122.500	122.279	121.695	0.479%	0.726	0.875	-0.149	0.004
2013 22/8 17:00	122.250	122.230	121.615	0.505%	0.760	0.913	-0.153	0.015
2013 22/8 15:00	121.930	122.226	121.551	0.554%	0.813	0.951	-0.138	0.048
2013 22/8 13:00	123.282	122.292	121.513	0.639%	0.895	0.985	-0.090	0.043
2013 22/8 11:00	121.880	122.072	121.336	0.604%	0.874	1.008	-0.134	0.044
2013 22/8 09:00	123.135	122.114	121.282	0.684%	0.952	1.042	-0.090	0.042
2013 22/8 07:00	122.201	121.888	121.097	0.651%	0.932	1.064	-0.132	0.006
2013 22/8 05:00	123.050	121.818	120.986	0.685%	0.972	1.097	-0.125	0.067
2013 22/8 03:00	122.650	121.544	120.780	0.631%	0.936	1.128	-0.192	0.074
2013 22/8 01:00	121.200	121.299	120.593	0.583%	0.911	1.176	-0.266	0.009
2013 21/8 23:00	120.511	121.320	120.532	0.652%	0.986	1.243	-0.256	0.076
2013 21/8 21:00	121.501	121.500	120.534	0.798%	1.127	1.307	-0.180	0.035
2013 21/8 19:00	122.000	121.500	120.438	0.878%	1.206	1.352	-0.145	0.006
