2013 31/8 20:00	140.490	135.124	132.088	2.272%	2.532	1.887	0.645	0.256
2013 31/8 16:00	137.760	133.931	131.248	2.024%	2.276	1.726	0.550	0.156
2013 31/8 12:00	138.361	133.080	130.596	1.884%	2.120	1.588	0.532	0.280
2013 31/8 08:00	138.000	131.907	129.820	1.595%	1.839	1.455	0.384	0.362
2013 31/8 04:00	137.590	130.553	129.002	1.195%	1.477	1.359	0.118	0.459
2013 31/8 00:00	129.090	128.989	128.143	0.658%	1.018	1.329	-0.311	0.068
2013 30/8 20:00	128.900	128.967	128.049	0.715%	1.086	1.407	-0.321	0.086
2013 30/8 16:00	128.570	128.982	127.963	0.793%	1.172	1.487	-0.315	0.119
2013 30/8 12:00	128.900	129.073	127.903	0.911%	1.291	1.566	-0.275	0.107
2013 30/8 08:00	128.700	129.112	127.803	1.019%	1.398	1.635	-0.237	0.132
2013 30/8 04:00	129.830	129.203	127.713	1.160%	1.530	1.694	-0.164	0.056
2013 30/8 00:00	129.869	129.064	127.502	1.218%	1.586	1.735	-0.149	0.045
2013 29/8 20:00	128.660	128.885	127.265	1.265%	1.632	1.772	-0.141	0.130
2013 29/8 16:00	129.758	128.935	127.125	1.414%	1.762	1.808	-0.046	0.053
2013 29/8 12:00	129.000	128.753	126.862	1.479%	1.815	1.819	-0.005	0.101
2013 29/8 08:00	129.570	128.698	126.648	1.605%	1.916	1.820	0.095	0.055
2013 29/8 04:00	129.626	128.504	126.356	1.685%	1.971	1.797	0.174	0.037
2013 29/8 00:00	128.760	128.254	126.029	1.750%	2.008	1.753	0.255	0.087
2013 28/8 20:00	128.800	128.142	125.756	1.880%	2.095	1.689	0.405	0.076
2013 28/8 16:00	129.700	127.996	125.452	2.008%	2.171	1.588	0.583	0.007
2013 28/8 12:00	130.998	127.617	125.027	2.051%	2.164	1.442	0.722	0.147
2013 28/8 08:00	130.171	126.866	124.429	1.939%	2.017	1.262	0.755	0.153
2013 28/8 04:00	130.155	126.131	123.855	1.821%	1.863	1.073	0.790	0.225
2013 28/8 00:00	130.490	125.237	123.225	1.619%	1.638	0.876	0.763	0.343
2013 27/8 20:00	129.000	124.070	122.499	1.274%	1.295	0.685	0.610	0.339
2013 27/8 16:00	130.300	122.974	121.849	0.919%	0.957	0.532	0.424	0.560
2013 27/8 12:00	121.310	121.346	121.004	0.283%	0.396	0.426	-0.030	0.030
2013 27/8 08:00	121.240	121.354	120.973	0.315%	0.426	0.434	-0.007	0.038
2013 27/8 04:00	120.880	121.380	120.946	0.358%	0.464	0.436	0.028	0.072
2013 27/8 00:00	122.368	121.491	120.953	0.444%	0.536	0.428	0.107	0.041
2013 26/8 20:00	121.455	121.296	120.812	0.400%	0.494	0.402	0.093	0.017
2013 26/8 16:00	121.332	121.260	120.747	0.424%	0.511	0.378	0.133	0.024
2013 26/8 12:00	122.467	121.244	120.689	0.459%	0.536	0.345	0.190	0.072
2013 26/8 08:00	122.450	120.973	120.511	0.382%	0.463	0.298	0.166	0.098
2013 26/8 04:00	121.900	120.644	120.317	0.272%	0.365	0.256	0.109	0.084
2013 26/8 00:00	121.838	120.365	120.159	0.172%	0.280	0.229	0.051	0.107
2013 25/8 20:00	121.000	120.038	119.991	0.039%	0.173	0.216	-0.043	0.068
2013 25/8 16:00	120.495	119.824	119.890	-0.055%	0.105	0.227	-0.122	0.046
2013 25/8 12:00	119.640	119.675	119.829	-0.129%	0.059	0.257	-0.198	0.013
2013 25/8 08:00	120.550	119.683	119.848	-0.138%	0.073	0.307	-0.234	0.062
2013 25/8 04:00	120.300	119.490	119.778	-0.241%	0.011	0.365	-0.354	0.057
2013 25/8 00:00	119.098	119.310	119.726	-0.348%	-0.046	0.454	-0.500	0.030
2013 24/8 20:00	118.080	119.357	119.788	-0.361%	-0.017	0.579	-0.596	0.125
2013 24/8 16:00	118.800	119.641	119.959	-0.266%	0.108	0.728	-0.620	0.096
2013 24/8 12:00	118.200	119.828	120.075	-0.206%	0.204	0.883	-0.679	0.170
2013 24/8 08:00	118.510	120.190	120.263	-0.061%	0.375	1.052	-0.678	0.186
2013 24/8 04:00	118.521	120.563	120.438	0.104%	0.560	1.222	-0.662	0.227
2013 24/8 00:00	120.100	121.017	120.630	0.321%	0.788	1.387	-0.600	0.146
2013 23/8 20:00	119.100	121.221	120.683	0.445%	0.933	1.537	-0.604	0.256
2013 23/8 16:00	120.900	121.692	120.841	0.702%	1.190	1.688	-0.498	0.159
2013 23/8 12:00	120.900	121.868	120.835	0.851%	1.349	1.813	-0.464	0.183
2013 23/8 08:00	121.530	122.083	120.828	1.033%	1.532	1.929	-0.397	0.159
2013 23/8 04:00	121.950	122.206	120.758	1.192%	1.691	2.028	-0.337	0.143
2013 23/8 00:00	122.100	122.263	120.639	1.337%	1.834	2.112	-0.278	0.144
2013 22/8 20:00	122.890	122.299	120.493	1.488%	1.978	2.182	-0.204	0.088
2013 22/8 16:00	121.872	122.167	120.253	1.579%	2.066	2.232	-0.167	0.168
2013 22/8 12:00	123.100	122.233	120.091	1.768%	2.233	2.274	-0.041	0.078
2013 22/8 08:00	123.500	122.041	119.791	1.861%	2.311	2.284	0.027	0.032
2013 22/8 04:00	124.155	121.716	119.420	1.905%	2.343	2.278	0.065	0.051
2013 22/8 00:00	121.854	121.174	118.946	1.856%	2.292	2.261	0.031	0.095
2013 21/8 20:00	122.480	121.023	118.655	1.976%	2.388	2.254	0.134	0.033
2013 21/8 16:00	121.800	120.700	118.273	2.031%	2.421	2.220	0.201	0.064
2013 21/8 12:00	124.101	120.455	117.920	2.127%	2.485	2.170	0.315	0.153
2013 21/8 08:00	122.392	119.645	117.302	1.978%	2.331	2.091	0.240	0.086
2013 21/8 04:00	120.848	119.035	116.793	1.901%	2.245	2.031	0.214	0.012
2013 21/8 00:00	120.000	118.632	116.388	1.910%	2.233	1.977	0.256	0.024
2013 20/8 20:00	120.131	118.328	116.026	1.964%	2.257	1.913	0.344	0.015
2013 20/8 16:00	121.016	117.927	115.616	1.979%	2.243	1.827	0.416	0.130
2013 20/8 12:00	119.807	117.240	115.076	1.863%	2.112	1.723	0.389	0.094
2013 20/8 08:00	118.500	116.670	114.603	1.788%	2.018	1.626	0.392	0.037
2013 20/8 04:00	118.000	116.263	114.213	1.779%	1.982	1.528	0.453	0.033
2013 20/8 00:00	118.400	115.877	113.834	1.779%	1.949	1.415	0.534	0.108
2013 19/8 20:00	118.841	115.317	113.378	1.696%	1.841	1.281	0.559	0.206
2013 19/8 16:00	120.327	114.534	112.831	1.497%	1.635	1.142	0.493	0.425
2013 19/8 12:00	115.000	113.246	112.082	1.034%	1.210	1.018	0.191	0.083
2013 19/8 08:00	113.550	112.857	111.790	0.949%	1.126	0.971	0.156	0.008
2013 19/8 04:00	113.980	112.703	111.614	0.970%	1.134	0.932	0.202	0.046
2013 19/8 00:00	114.500	112.419	111.378	0.930%	1.088	0.881	0.207	0.123
2013 18/8 20:00	113.040	111.956	111.065	0.799%	0.965	0.829	0.136	0.038
2013 18/8 16:00	112.500	111.715	110.868	0.762%	0.927	0.795	0.131	0.014
2013 18/8 12:00	113.657	111.541	110.705	0.753%	0.913	0.762	0.151	0.137
2013 18/8 08:00	113.086	111.071	110.409	0.597%	0.776	0.725	0.051	0.135
2013 18/8 04:00	112.180	110.623	110.142	0.436%	0.641	0.712	-0.071	0.099
2013 18/8 00:00	112.390	110.277	109.938	0.308%	0.542	0.730	-0.188	0.154
2013 17/8 20:00	109.787	109.807	109.693	0.104%	0.388	0.777	-0.389	0.038
2013 17/8 16:00	109.449	109.812	109.683	0.117%	0.426	0.874	-0.447	0.074
2013 17/8 12:00	108.600	109.893	109.707	0.169%	0.501	0.986	-0.485	0.166
2013 17/8 08:00	109.990	110.180	109.817	0.330%	0.667	1.107	-0.440	0.074
2013 17/8 04:00	108.890	110.222	109.800	0.384%	0.740	1.217	-0.477	0.185
2013 17/8 00:00	109.490	110.518	109.891	0.569%	0.925	1.336	-0.411	0.167
2013 16/8 20:00	110.931	110.747	109.931	0.739%	1.092	1.439	-0.347	0.064
2013 16/8 16:00	110.537	110.706	109.831	0.793%	1.156	1.526	-0.369	0.102
2013 16/8 12:00	108.600	110.744	109.761	0.891%	1.258	1.618	-0.360	0.290
2013 16/8 08:00	110.500	111.220	109.877	1.215%	1.548	1.708	-0.160	0.173
2013 16/8 04:00	111.000	111.380	109.815	1.415%	1.721	1.748	-0.027	0.150
2013 16/8 00:00	112.480	111.464	109.696	1.599%	1.871	1.755	0.116	0.028
2013 15/8 20:00	111.322	111.239	109.418	1.650%	1.899	1.726	0.173	0.114
2013 15/8 16:00	111.100	111.220	109.227	1.808%	2.013	1.682	0.330	0.136
2013 15/8 12:00	113.302	111.247	109.040	2.003%	2.149	1.600	0.549	0.061
2013 15/8 08:00	112.740	110.790	108.614	1.984%	2.088	1.462	0.626	0.058
2013 15/8 04:00	114.111	110.357	108.201	1.972%	2.030	1.306	0.724	0.234
2013 15/8 00:00	111.690	109.522	107.610	1.761%	1.795	1.125	0.670	0.102
2013 14/8 20:00	113.800	109.041	107.202	1.700%	1.694	0.957	0.736	0.357
2013 14/8 16:00	112.200	107.983	106.543	1.343%	1.337	0.773	0.563	0.328
2013 14/8 12:00	108.698	107.046	105.977	1.004%	1.009	0.633	0.376	0.102
2013 14/8 08:00	108.500	106.679	105.705	0.917%	0.907	0.538	0.369	0.125
2013 14/8 04:00	108.500	106.274	105.425	0.802%	0.782	0.446	0.335	0.172
2013 14/8 00:00	106.068	105.779	105.118	0.627%	0.610	0.362	0.247	0.005
2013 13/8 20:00	106.480	105.715	105.023	0.657%	0.615	0.301	0.314	0.042
2013 13/8 16:00	106.319	105.545	104.877	0.635%	0.572	0.222	0.350	0.047
2013 13/8 12:00	106.890	105.373	104.733	0.610%	0.525	0.135	0.391	0.123
2013 13/8 08:00	107.720	105.036	104.517	0.495%	0.402	0.037	0.365	0.245
2013 13/8 04:00	104.800	104.440	104.197	0.233%	0.157	-0.054	0.211	0.031
2013 13/8 00:00	105.000	104.360	104.136	0.214%	0.126	-0.107	0.233	0.061
2013 12/8 20:00	104.674	104.217	104.050	0.160%	0.065	-0.165	0.231	0.047
2013 12/8 16:00	104.190	104.116	103.988	0.123%	0.018	-0.223	0.241	0.013
2013 12/8 12:00	105.480	104.099	103.967	0.127%	0.006	-0.283	0.289	0.143
2013 12/8 08:00	104.760	103.792	103.816	-0.023%	-0.137	-0.356	0.218	0.110
2013 12/8 04:00	104.000	103.577	103.722	-0.139%	-0.247	-0.410	0.163	0.062
2013 12/8 00:00	103.700	103.483	103.694	-0.203%	-0.309	-0.451	0.142	0.045
2013 11/8 20:00	103.990	103.435	103.693	-0.249%	-0.354	-0.486	0.132	0.081
2013 11/8 16:00	103.884	103.312	103.664	-0.340%	-0.435	-0.520	0.084	0.087
2013 11/8 12:00	103.495	103.185	103.642	-0.442%	-0.522	-0.541	0.019	0.065
2013 11/8 08:00	102.506	103.116	103.656	-0.523%	-0.586	-0.545	-0.041	0.023
2013 11/8 04:00	103.399	103.251	103.771	-0.503%	-0.563	-0.535	-0.028	0.050
2013 11/8 00:00	102.710	103.218	103.809	-0.570%	-0.613	-0.528	-0.085	0.013
2013 10/8 20:00	102.987	103.331	103.919	-0.567%	-0.600	-0.507	-0.093	0.002
2013 10/8 16:00	103.680	103.408	104.012	-0.582%	-0.602	-0.484	-0.118	0.062
2013 10/8 12:00	103.000	103.347	104.045	-0.673%	-0.664	-0.454	-0.209	0.003
2013 10/8 08:00	102.350	103.424	104.149	-0.699%	-0.667	-0.402	-0.264	0.070
2013 10/8 04:00	102.657	103.663	104.329	-0.641%	-0.597	-0.336	-0.261	0.067
2013 10/8 00:00	103.011	103.887	104.496	-0.585%	-0.529	-0.271	-0.259	0.059
2013 9/8 20:00	103.300	104.081	104.645	-0.540%	-0.471	-0.206	-0.264	0.053
2013 9/8 16:00	103.895	104.255	104.780	-0.502%	-0.417	-0.140	-0.277	0.016
2013 9/8 12:00	104.483	104.335	104.868	-0.510%	-0.401	-0.071	-0.331	0.031
2013 9/8 08:00	103.389	104.302	104.906	-0.578%	-0.432	0.012	-0.444	0.073
2013 9/8 04:00	101.800	104.505	105.058	-0.528%	-0.359	0.123	-0.482	0.252
2013 9/8 00:00	102.365	105.106	105.384	-0.264%	-0.107	0.244	-0.351	0.267
2013 8/8 20:00	105.251	105.715	105.686	0.027%	0.160	0.331	-0.172	0.060
2013 8/8 16:00	105.500	105.818	105.729	0.084%	0.220	0.374	-0.155	0.049
2013 8/8 12:00	105.700	105.888	105.752	0.129%	0.269	0.413	-0.144	0.040
2013 8/8 08:00	105.500	105.930	105.758	0.163%	0.309	0.449	-0.140	0.066
2013 8/8 04:00	105.999	106.026	105.783	0.229%	0.374	0.484	-0.109	0.030
2013 8/8 00:00	106.000	106.032	105.762	0.255%	0.405	0.511	-0.107	0.033
2013 7/8 20:00	106.075	106.039	105.738	0.284%	0.437	0.538	-0.101	0.028
2013 7/8 16:00	106.320	106.031	105.704	0.309%	0.465	0.563	-0.098	0.005
2013 7/8 12:00	105.406	105.967	105.643	0.306%	0.471	0.587	-0.116	0.088
2013 7/8 08:00	106.650	106.091	105.666	0.401%	0.559	0.617	-0.058	0.015
2013 7/8 04:00	105.154	105.967	105.568	0.377%	0.544	0.631	-0.087	0.116
2013 7/8 00:00	106.850	106.148	105.609	0.508%	0.660	0.653	0.007	0.024
2013 6/8 20:00	105.900	105.992	105.485	0.479%	0.636	0.651	-0.015	0.051
2013 6/8 16:00	106.126	106.012	105.444	0.537%	0.687	0.655	0.032	0.034
2013 6/8 12:00	106.110	105.987	105.376	0.578%	0.720	0.647	0.073	0.034
2013 6/8 08:00	106.443	105.959	105.302	0.622%	0.754	0.629	0.125	0.000
2013 6/8 04:00	106.649	105.852	105.188	0.629%	0.754	0.597	0.157	0.031
2013 6/8 00:00	107.689	105.675	105.042	0.601%	0.723	0.558	0.165	0.151
2013 5/8 20:00	105.520	105.227	104.777	0.429%	0.572	0.517	0.055	0.008
2013 5/8 16:00	106.235	105.162	104.703	0.438%	0.580	0.503	0.076	0.067
2013 5/8 12:00	106.636	104.924	104.550	0.357%	0.512	0.484	0.028	0.133
2013 5/8 08:00	105.020	104.544	104.341	0.194%	0.379	0.477	-0.098	0.018
2013 5/8 04:00	105.000	104.438	104.274	0.157%	0.361	0.502	-0.141	0.027
2013 5/8 00:00	104.500	104.313	104.201	0.107%	0.334	0.537	-0.203	0.010
2013 4/8 20:00	104.150	104.271	104.171	0.096%	0.344	0.588	-0.243	0.042
2013 4/8 16:00	104.070	104.298	104.173	0.120%	0.386	0.648	-0.262	0.056
2013 4/8 12:00	104.780	104.349	104.183	0.159%	0.442	0.714	-0.273	0.005
2013 4/8 08:00	104.875	104.253	104.124	0.124%	0.437	0.782	-0.345	0.022
2013 4/8 04:00	103.221	104.115	104.049	0.064%	0.415	0.869	-0.454	0.128
2013 4/8 00:00	103.629	104.314	104.131	0.175%	0.542	0.982	-0.440	0.115
2013 3/8 20:00	104.200	104.466	104.182	0.272%	0.658	1.092	-0.434	0.082
2013 3/8 16:00	104.110	104.525	104.180	0.331%	0.739	1.200	-0.461	0.102
2013 3/8 12:00	103.800	104.617	104.187	0.412%	0.842	1.316	-0.474	0.149
2013 3/8 08:00	103.990	104.799	104.226	0.549%	0.990	1.434	-0.444	0.157
2013 3/8 04:00	104.700	104.979	104.249	0.697%	1.147	1.545	-0.399	0.114
2013 3/8 00:00	105.928	105.040	104.204	0.799%	1.261	1.645	-0.384	0.008
